idJugador,idPartido,puntos,asistencias,tapones,rebotes,robos,porcentajeTirosLibres,porcentajeTirosCampo,porcentajeTriples
202691,42100314,12,1,0,1,2,0.0,0.5,0.333
201939,42100314,20,8,0,5,1,0.8,0.438,0.4
1629673,42100314,14,4,1,0,0,1.0,0.5,0.4
1630228,42100314,17,1,0,8,0,0.75,0.455,0.333
1630541,42100314,10,0,0,2,2,0.0,0.571,0.667
1627814,42100314,6,1,0,6,0,0.0,0.5,0.0
1629308,42100314,0,0,0,0,0,0.0,0.0,0.0
202357,42100314,4,3,0,3,0,0.0,1.0,0.0
203490,42100314,0,0,0,0,0,0.0,0.0,0.0
203493,42100314,18,2,0,2,0,0.0,0.6,0.6
1627827,42100314,23,2,0,6,0,0.5,0.692,0.571
203939,42100314,0,0,0,1,0,0.0,0.0,0.0
1628973,42100314,15,5,1,5,0,0.8,0.417,0.5
1629029,42100314,30,9,2,14,2,0.7,0.385,0.273
1628467,42100314,13,2,3,8,0,1.0,0.833,0.667
203915,42100314,10,8,0,3,1,1.0,0.286,0.4
1628373,42100314,5,1,0,1,1,0.0,1.0,1.0
202722,42100314,5,1,0,5,0,0.0,0.333,0.25
1630182,42100314,0,0,0,0,0,0.0,0.0,0.0
1628425,42100314,0,0,0,0,0,0.0,0.0,0.0
203504,42100314,0,0,0,0,0,0.0,0.0,0.0
1627737,42100314,0,0,0,0,0,0.0,0.0,0.0
1626246,42100314,0,0,0,0,0,0.0,0.0,0.0
202710,42100304,6,1,0,7,0,0.0,0.214,0.0
200782,42100304,0,2,0,3,1,0.0,0.0,0.0
1628389,42100304,9,2,0,6,0,0.6,0.6,0.0
1629622,42100304,0,0,0,0,0,0.0,0.0,0.0
200768,42100304,3,2,2,5,0,0.0,0.167,0.333
1629216,42100304,6,7,0,1,1,0.0,0.2,0.4
203506,42100304,23,6,0,4,0,0.625,0.438,0.571
203473,42100304,7,0,0,1,0,0.0,0.75,1.0
1629130,42100304,14,0,0,4,2,0.0,0.455,0.5
1628997,42100304,12,1,0,6,0,0.0,0.5,0.4
1630209,42100304,2,0,0,1,0,0.0,0.5,0.0
1629312,42100304,0,1,0,1,0,0.0,0.0,0.0
2617,42100304,0,0,0,0,0,0.0,0.0,0.0
202693,42100304,0,0,0,0,0,0.0,0.0,0.0
1628369,42100304,31,5,2,8,0,0.875,0.5,0.143
201143,42100304,5,3,4,13,0,1.0,0.5,1.0
1629057,42100304,12,0,2,9,0,1.0,0.8,0.0
1627759,42100304,12,2,0,7,0,0.5,0.25,0.167
1628401,42100304,13,6,1,8,3,0.667,0.286,0.125
1630202,42100304,14,3,1,2,1,0.5,0.625,0.5
1629684,42100304,7,2,0,5,0,1.0,0.125,0.2
1630174,42100304,2,0,1,5,0,0.0,0.5,0.0
1628464,42100304,4,0,0,3,0,0.0,0.667,0.0
203917,42100304,2,0,0,0,0,1.0,0.0,0.0
1630238,42100304,0,0,0,0,0,0.0,0.0,0.0
1629752,42100304,0,0,0,0,0,0.0,0.0,0.0
1628436,42100304,0,0,0,0,0,0.0,0.0,0.0
203952,42100313,27,3,0,11,0,0.8,0.55,0.2
203110,42100313,10,5,1,5,2,0.0,0.5,0.0
1626172,42100313,9,4,0,12,1,0.75,0.75,0.0
202691,42100313,19,3,0,7,0,1.0,0.333,0.3
201939,42100313,31,11,0,5,0,1.0,0.5,0.5
1629673,42100313,10,1,0,5,2,1.0,0.5,0.5
203490,42100313,2,0,0,1,0,0.0,0.5,0.0
1630541,42100313,1,1,0,1,0,0.5,0.0,0.0
1629308,42100313,0,0,0,0,0,0.0,0.0,0.0
202357,42100313,0,0,0,0,0,0.0,0.0,0.0
1630228,42100313,0,0,0,0,0,0.0,0.0,0.0
1627814,42100313,0,0,0,0,0,0.0,0.0,0.0
203493,42100313,0,4,0,4,2,0.0,0.0,0.0
1627827,42100313,9,3,0,4,0,0.5,0.429,0.4
203939,42100313,3,0,0,2,0,0.5,1.0,0.0
1628973,42100313,20,3,0,5,0,0.75,0.583,0.5
1629029,42100313,40,3,2,11,1,0.824,0.478,0.444
1628467,42100313,0,2,0,4,0,0.0,0.0,0.0
203915,42100313,26,1,0,2,0,1.0,0.538,0.4
1628373,42100313,0,1,0,0,0,0.0,0.0,0.0
202722,42100313,2,1,0,1,1,0.0,0.333,0.0
1628425,42100313,0,0,0,0,0,0.0,0.0,0.0
203504,42100313,0,0,0,0,0,0.0,0.0,0.0
1627737,42100313,0,0,0,0,0,0.0,0.0,0.0
1630182,42100313,0,0,0,0,0,0.0,0.0,0.0
1626246,42100313,0,0,0,0,0,0.0,0.0,0.0
202710,42100303,8,2,0,3,2,1.0,0.375,0.0
200782,42100303,17,1,1,7,3,1.0,0.5,0.5
1628389,42100303,31,6,1,10,4,1.0,0.682,0.0
1629622,42100303,16,2,1,4,0,0.0,0.5,0.571
200768,42100303,11,6,0,1,4,1.0,0.364,0.286
1629216,42100303,3,1,1,1,1,0.0,0.25,0.5
203473,42100303,0,0,0,2,0,0.0,0.0,0.0
1629639,42100303,8,3,0,2,0,0.0,0.267,0.0
1628997,42100303,8,0,0,3,1,1.0,0.75,0.5
1629130,42100303,2,0,0,1,0,0.0,0.5,0.0
203506,42100303,5,1,0,0,4,0.6,0.25,0.0
2617,42100303,0,0,0,0,0,0.0,0.0,0.0
1629312,42100303,0,0,0,0,0,0.0,0.0,0.0
202693,42100303,0,0,0,0,0,0.0,0.0,0.0
1630209,42100303,0,0,0,0,0,0.0,0.0,0.0
1628369,42100303,10,4,0,6,0,0.75,0.214,0.143
201143,42100303,20,3,3,14,0,1.0,0.5,0.6
1628464,42100303,1,1,0,3,0,0.5,0.0,0.0
1627759,42100303,40,1,1,9,1,0.75,0.7,0.333
203935,42100303,16,7,0,4,0,0.6,0.545,0.25
1629684,42100303,10,0,1,5,1,1.0,0.333,0.5
1628401,42100303,0,1,2,2,0,0.0,0.0,0.0
1630202,42100303,3,4,0,0,0,0.0,1.0,1.0
1629752,42100303,0,0,0,1,0,0.0,0.0,0.0
1630238,42100303,0,0,0,0,0,0.0,0.0,0.0
203917,42100303,3,0,0,0,0,0.0,1.0,1.0
1630174,42100303,0,0,0,0,0,0.0,0.0,0.0
1628436,42100303,0,0,0,0,0,0.0,0.0,0.0
203493,42100312,21,2,0,3,0,1.0,0.545,0.6
1627827,42100312,10,2,1,8,0,0.25,0.5,0.5
203939,42100312,0,0,0,2,0,0.0,0.0,0.0
1628973,42100312,31,5,0,7,0,0.667,0.579,0.714
1629029,42100312,42,8,1,5,3,0.867,0.522,0.5
1628467,42100312,3,1,2,1,1,0.0,0.2,0.2
203915,42100312,4,4,1,1,2,0.0,0.333,0.0
1628373,42100312,0,0,0,0,0,0.0,0.0,0.0
202722,42100312,6,0,0,2,1,1.0,0.667,0.5
1630182,42100312,0,0,0,1,0,0.0,0.0,0.0
1628425,42100312,0,0,0,0,0,0.0,0.0,0.0
203504,42100312,0,0,0,0,0,0.0,0.0,0.0
1627737,42100312,0,0,0,0,0,0.0,0.0,0.0
1626246,42100312,0,0,0,0,0,0.0,0.0,0.0
203952,42100312,16,5,1,5,1,0.5,0.357,0.6
203110,42100312,6,5,0,6,0,0.5,0.333,0.5
1626172,42100312,21,2,0,12,0,1.0,0.714,0.0
202691,42100312,15,5,0,4,0,1.0,0.6,0.25
201939,42100312,32,5,0,8,0,1.0,0.524,0.6
1629673,42100312,23,5,0,1,2,1.0,0.7,0.5
203490,42100312,11,4,1,7,1,0.667,1.0,1.0
1627814,42100312,0,1,0,0,0,0.0,0.0,0.0
1630541,42100312,2,1,0,0,0,0.0,1.0,0.0
202357,42100312,0,0,0,0,0,0.0,0.0,0.0
1630228,42100312,0,0,0,0,0,0.0,0.0,0.0
1629308,42100312,0,0,0,0,0,0.0,0.0,0.0
1628369,42100302,27,5,0,5,1,1.0,0.615,0.667
201143,42100302,10,3,1,3,1,0.0,1.0,1.0
1629057,42100302,5,0,3,4,1,1.0,0.667,0.0
1627759,42100302,24,3,0,8,0,1.0,0.529,0.571
203935,42100302,24,12,1,9,3,1.0,0.364,0.417
1629684,42100302,19,0,0,4,1,0.875,0.714,1.0
1630202,42100302,10,2,0,2,1,0.0,0.5,0.333
1630174,42100302,0,0,0,1,0,0.0,0.0,0.0
1628464,42100302,2,1,0,1,0,0.0,1.0,0.0
203917,42100302,3,2,0,1,0,0.0,0.333,0.5
1628436,42100302,2,0,0,2,0,0.0,0.5,0.0
1629752,42100302,1,0,0,1,0,0.5,0.0,0.0
1630238,42100302,0,0,0,0,0,0.0,0.0,0.0
1628401,42100302,0,0,0,0,0,0.0,0.0,0.0
202710,42100302,29,3,0,6,1,0.75,0.611,0.333
200782,42100302,5,1,0,4,0,0.0,0.333,1.0
